duration,protocol,service,flag,src_bytes,dst_bytes,count,srv_count,dst_host_count,attack_type
24,udp,dns,SH,14700,53,91,71,134,DoS
657,http,snmp,SH,1122,597,49,26,45,WebAttack
7049,smtp,ssh,RSTR,1644,2826,8,74,122,Normal
498,icmp,snmp,OTH,1646,839,39,32,129,WebAttack
666,ftp,http,RSTR,2562,3287,98,87,48,Botnet
8572,udp,irc,REJ,888,1810,97,96,40,Normal
5869,dns,dns,S0,1342,1490,26,91,201,Normal
942,dns,ftp,REJ,2608,4139,23,94,177,Normal
184,dns,dns,REJ,1943,869,34,45,0,WebAttack
3406,smtp,irc,RSTR,2894,3210,81,24,41,Normal
1590,icmp,snmp,S0,257,77,90,60,233,BruteForce
9186,dns,snmp,SF,3976,3169,39,82,105,Normal
9957,http,snmp,SF,3966,4974,40,50,76,Normal
4709,icmp,snmp,REJ,3017,3419,34,82,173,Normal
9151,http,http,RSTO,91,707,54,88,47,Normal
6004,icmp,telnet,RSTO,1037,4143,85,69,173,Normal
5776,udp,telnet,SH,3949,2582,52,60,246,Normal
7452,http,irc,RSTR,3578,2842,29,10,227,Normal
391,http,ssh,SH,688,467,29,30,191,WebAttack
5710,tcp,telnet,RSTO,372,3339,53,85,179,Normal
655,udp,telnet,REJ,1787,958,24,33,14,WebAttack
9505,icmp,snmp,REJ,290,159,60,72,18,BruteForce
2101,smtp,smtp,SH,342,31,73,92,233,BruteForce
2706,dns,ssh,SH,3481,3642,69,63,235,Normal
3791,dns,telnet,REJ,159,79,50,60,67,BruteForce
4069,https,snmp,RSTO,2690,1357,36,32,253,Normal
4044,http,http,S0,2283,1585,71,14,80,Normal
1234,udp,ssh,RSTO,2901,3949,61,92,239,Botnet
9675,smtp,ssh,S0,4593,1553,81,93,242,Normal
6149,icmp,ssh,RSTO,4149,4374,51,93,102,Normal
2265,http,dns,RSTO,3767,1938,5,70,187,Normal
6445,smtp,smtp,RSTO,2912,3934,66,88,119,Normal
68,https,snmp,REJ,4326,2975,29,27,23,Normal
2222,https,telnet,SH,2735,1212,68,34,25,Normal
5898,udp,telnet,S0,2768,4228,21,33,2,Infiltration
5295,https,telnet,RSTR,4554,2339,94,74,85,Normal
9936,dns,dns,S0,2343,1890,0,27,76,Normal
1436,https,ftp,RSTR,80,3862,79,52,157,Normal
6698,smtp,dns,SF,391,18,93,92,89,BruteForce
69,udp,http,S0,8506,86,84,77,110,DoS
4176,ftp,irc,RSTO,1426,2980,7,98,240,Normal
2196,https,dns,S0,2697,5128,33,14,92,Infiltration
9634,tcp,smtp,RSTR,1174,4359,6,70,191,Normal
9781,tcp,ssh,S0,2345,672,52,60,109,Normal
9921,ftp,snmp,RSTR,351,51,94,53,170,BruteForce
6274,udp,smtp,REJ,4192,4348,62,35,157,Normal
1761,icmp,dns,RSTO,4887,3461,53,43,196,Normal
9382,icmp,telnet,OTH,4777,4512,20,79,192,Normal
4379,tcp,snmp,RSTR,3373,2879,5,35,173,Infiltration
2314,icmp,snmp,SF,4068,4302,67,3,85,Normal
70,http,snmp,OTH,4889,1662,40,3,142,Normal
4169,ftp,dns,SF,784,1034,81,79,76,Normal
9842,ftp,snmp,S0,1037,775,87,44,39,Normal
7291,udp,http,RSTR,2969,4344,7,2,60,Normal
5172,http,http,RSTO,383,42,59,99,120,BruteForce
593,udp,smtp,OTH,3772,1255,57,61,188,Botnet
9021,tcp,http,S0,1282,1491,41,65,133,Normal
5750,icmp,snmp,SH,2768,1312,26,19,46,Infiltration
97,icmp,dns,S0,10401,2,81,86,61,DoS
6558,http,http,RSTR,582,4946,16,43,154,Normal
1989,dns,telnet,SF,1969,3393,47,58,224,Botnet
1331,ftp,snmp,S0,3952,4257,35,10,193,Normal
4499,http,smtp,RSTR,4087,3275,33,92,115,Normal
759,udp,dns,RSTO,4361,3153,57,60,196,Normal
5440,tcp,telnet,REJ,2133,6734,40,19,67,Infiltration
6600,https,dns,OTH,638,2533,31,32,36,Normal
53,dns,smtp,S0,6887,46,99,97,105,DoS
6908,udp,snmp,S0,3330,4052,2,12,200,Normal
3201,tcp,ftp,RSTO,2492,3921,39,99,51,Normal
217,tcp,smtp,S0,1913,560,52,14,228,Normal
3668,https,http,SH,2937,1877,59,6,182,Normal
1448,https,ssh,S0,397,4056,14,85,123,Normal
757,dns,smtp,S0,919,1,46,36,211,WebAttack
7458,udp,dns,RSTR,489,171,67,87,110,BruteForce
3838,dns,snmp,S0,1394,3128,66,90,154,Normal
3424,https,telnet,RSTR,1872,6123,25,8,250,Infiltration
891,dns,ftp,SH,549,837,25,30,223,WebAttack
2456,smtp,dns,RSTR,2800,4096,98,65,105,Normal
1951,icmp,snmp,REJ,4261,2233,88,90,29,Normal
626,udp,ftp,REJ,1364,568,29,26,84,WebAttack
6203,ftp,dns,OTH,6026,5034,11,3,111,Infiltration
3431,http,irc,OTH,3666,1949,28,92,193,Normal
1314,dns,http,REJ,382,518,41,96,59,Normal
97,https,snmp,RSTR,13220,52,82,87,139,DoS
7342,udp,smtp,SF,1091,3889,38,24,144,Normal
3293,ftp,ssh,RSTO,4086,165,28,17,104,Infiltration
9942,smtp,smtp,RSTR,4110,906,71,68,155,Normal
9974,dns,telnet,OTH,3475,2394,76,60,167,Normal
5470,smtp,dns,OTH,4466,4402,34,45,69,Infiltration
4668,icmp,ssh,S0,376,88,73,85,187,BruteForce
1642,tcp,smtp,SH,4545,4798,11,49,240,Normal
2904,dns,irc,RSTO,127,103,68,77,110,BruteForce
4914,https,smtp,RSTO,137,29,53,58,42,BruteForce
6582,https,smtp,REJ,4155,597,97,12,51,Normal
3939,smtp,http,RSTR,6672,5621,22,5,221,Infiltration
5975,http,http,S0,1378,645,41,48,60,Normal
2903,dns,ssh,REJ,15,135,97,88,3,BruteForce
6950,tcp,telnet,SF,4436,107,82,74,231,Normal
80,tcp,smtp,RSTR,12947,41,88,70,98,DoS
313,ftp,dns,SH,1725,1183,92,83,162,Normal
9806,smtp,ssh,RSTO,1413,630,55,22,45,Normal
9299,icmp,telnet,RSTR,1426,1521,61,15,169,Normal
8803,ftp,telnet,RSTO,4128,2907,68,27,213,Normal
4750,dns,snmp,OTH,260,4955,21,99,58,Normal
828,tcp,irc,SF,3785,2637,55,47,239,Botnet
2879,dns,irc,SH,4328,1991,14,55,178,Normal
985,tcp,dns,S0,1053,421,24,31,51,WebAttack
4158,tcp,ssh,RSTR,1606,4001,59,72,203,Normal
5859,http,ssh,SH,1705,1483,44,16,118,Infiltration
4148,https,smtp,S0,476,2856,65,66,93,Normal
8246,ftp,dns,REJ,3139,2036,59,74,62,Normal
1734,smtp,snmp,SF,2002,1097,96,76,142,Botnet
68,icmp,http,S0,11339,98,94,89,212,DoS
92,http,irc,S0,9970,61,73,82,115,DoS
8662,http,dns,RSTO,4994,2049,99,18,100,Normal
6656,smtp,ssh,RSTO,208,158,58,77,141,BruteForce
1007,icmp,snmp,SH,3286,1505,92,59,10,Botnet
3993,udp,ftp,SF,4070,496,37,40,72,Normal
7654,udp,http,S0,2889,3361,85,58,250,Normal
1540,http,ftp,SH,1255,2427,53,69,51,Botnet
4779,smtp,http,OTH,1505,2934,47,46,46,Infiltration
493,ftp,http,SH,1647,114,24,42,117,WebAttack
7942,http,smtp,S0,2089,3047,32,16,182,Normal
6397,tcp,telnet,SH,45,3442,87,81,5,Normal
85,tcp,ftp,REJ,51,4909,99,19,211,Normal
735,http,telnet,SH,889,3920,89,56,7,Normal
11,ftp,smtp,SH,11393,24,74,97,186,DoS
6614,icmp,ftp,RSTR,4671,3880,14,44,74,Infiltration
40,udp,irc,SF,11302,60,99,72,167,DoS
2213,udp,http,REJ,4727,4788,29,36,5,Infiltration
232,smtp,snmp,SF,662,101,30,35,233,WebAttack
592,ftp,http,RSTO,134,4149,21,84,4,Normal
4571,smtp,smtp,S0,398,161,62,63,188,BruteForce
689,udp,snmp,S0,3366,3451,85,90,190,Botnet
3705,ftp,telnet,REJ,3344,2174,43,74,40,Normal
2752,https,telnet,SF,4574,3914,96,17,254,Normal
4251,http,ssh,REJ,4305,3904,1,6,223,Normal
5017,http,irc,SF,4813,3196,17,87,158,Normal
66,udp,http,SH,8453,19,98,99,176,DoS
865,dns,ftp,RSTR,1160,243,31,33,75,WebAttack
6087,smtp,irc,S0,3095,4016,16,8,60,Normal
6542,tcp,dns,SF,3192,4690,42,69,120,Normal
1380,icmp,http,SF,1065,1519,55,51,152,Botnet
481,http,ssh,SF,1734,14,38,20,152,WebAttack
3342,udp,irc,RSTO,857,180,18,48,252,Normal
94,https,snmp,S0,5581,22,82,82,148,DoS
975,udp,telnet,SH,1813,864,47,45,147,WebAttack
2834,ftp,ssh,OTH,1100,1365,18,60,107,Normal
683,dns,http,S0,1927,391,45,29,159,WebAttack
2902,icmp,ftp,RSTO,1579,4711,90,68,42,Normal
6250,icmp,snmp,RSTR,1158,1423,37,24,194,Normal
4377,icmp,smtp,RSTR,3505,1339,48,41,108,Normal
2893,udp,telnet,SH,4972,1910,5,23,198,Normal
11,smtp,snmp,OTH,12631,70,84,71,133,DoS
4146,ftp,dns,SH,379,1900,38,55,53,Normal
3283,udp,irc,REJ,2557,2005,28,70,225,Normal
1287,tcp,ssh,REJ,3750,1432,71,57,199,Botnet
531,tcp,dns,RSTR,2156,3012,47,67,60,Botnet
4139,https,ftp,SH,3267,953,6,28,204,Normal
9641,ftp,dns,RSTO,3506,123,0,64,120,Normal
8242,udp,ssh,S0,441,4256,13,64,225,Normal
3106,smtp,snmp,SF,2509,1676,21,2,204,Infiltration
222,ftp,smtp,REJ,1645,449,41,31,241,WebAttack
5977,https,ssh,SH,3762,3673,69,26,94,Normal
57,http,ftp,S0,11865,47,86,88,185,DoS
5064,smtp,ssh,S0,1871,2499,84,27,177,Normal
8278,icmp,irc,OTH,1797,1589,59,45,234,Normal
4673,dns,ssh,RSTR,6588,1703,36,45,72,Infiltration
48,icmp,dns,RSTR,6765,85,94,77,225,DoS
39,icmp,dns,SH,11759,13,85,99,100,DoS
147,ftp,ftp,OTH,1961,431,31,27,152,WebAttack
6677,ftp,telnet,REJ,698,4732,33,30,72,Infiltration
6595,http,http,REJ,4910,1173,77,0,85,Normal
9796,smtp,dns,RSTO,493,94,62,50,87,BruteForce
2974,udp,http,RSTR,3243,512,29,11,215,Normal
77,dns,smtp,OTH,5646,22,81,75,102,DoS
2123,http,snmp,SF,3852,3431,82,35,83,Normal
589,icmp,snmp,S0,3021,2924,83,89,159,Botnet
6960,http,smtp,SF,6734,6392,3,12,192,Infiltration
1952,icmp,irc,SH,2196,2143,51,78,198,Botnet
8739,https,http,SH,3501,592,90,30,241,Normal
66,tcp,irc,RSTO,11304,6,74,89,109,DoS
4510,icmp,ftp,RSTO,4876,2820,39,7,134,Normal
1827,tcp,dns,RSTO,2933,3876,33,26,183,Normal
7520,udp,snmp,OTH,280,196,53,98,242,BruteForce
916,dns,irc,S0,3975,2307,46,19,181,Normal
4847,dns,smtp,SH,1776,1107,42,23,194,Normal
1921,dns,smtp,REJ,2912,1848,89,62,234,Botnet
1586,udp,ftp,RSTO,2916,2138,78,83,70,Botnet
4923,dns,dns,RSTO,1103,3857,70,67,151,Normal
558,ftp,irc,SH,2418,2997,83,70,173,Botnet
3059,ftp,dns,SH,3102,1155,78,35,12,Normal
84,http,ftp,OTH,13932,89,96,79,241,DoS
9727,icmp,snmp,REJ,294,2346,62,94,15,Normal
6422,tcp,snmp,RSTR,6736,6473,2,0,34,Infiltration
6545,dns,dns,S0,435,2382,28,19,37,Normal
6454,smtp,irc,OTH,4994,4571,78,3,48,Normal
8865,tcp,snmp,RSTO,279,148,88,76,125,BruteForce
944,icmp,ssh,SH,1024,3217,35,70,39,Normal
4,ftp,smtp,OTH,7589,74,72,83,95,DoS
2533,icmp,snmp,RSTR,5402,6814,34,26,73,Infiltration
775,http,ssh,RSTO,1441,3897,6,89,42,Normal
7017,dns,ssh,RSTO,742,1723,50,37,99,Normal
291,icmp,ssh,SH,3132,2577,57,91,17,Normal
439,http,irc,RSTO,615,303,40,24,68,WebAttack
1753,icmp,http,OTH,846,157,83,51,195,Normal
8,icmp,http,SF,14511,82,81,80,1,DoS
6619,dns,telnet,SH,4847,4250,21,16,85,Infiltration
6009,udp,ftp,S0,1319,4960,21,17,179,Normal
650,ftp,irc,SH,1376,231,37,48,229,Normal
8616,udp,snmp,S0,104,28,67,69,191,BruteForce
3656,tcp,irc,REJ,242,140,89,51,6,BruteForce
2030,icmp,irc,OTH,492,3348,88,30,249,Normal
5819,icmp,http,S0,1548,3638,90,62,147,Normal
5500,http,ftp,SF,571,600,50,94,109,Normal
726,tcp,telnet,S0,752,246,30,36,200,WebAttack
47,udp,snmp,SF,11800,76,88,77,56,DoS
8483,udp,ssh,S0,451,29,99,76,63,BruteForce
6531,ftp,smtp,OTH,726,648,9,11,99,Normal
1234,icmp,telnet,OTH,677,2345,45,58,116,Normal
4998,dns,dns,SF,205,127,75,71,63,BruteForce
922,smtp,dns,S0,965,93,48,36,2,WebAttack
6938,dns,telnet,SH,4642,3626,66,72,39,Normal
2776,http,http,RSTO,4285,2497,89,20,35,Normal
8314,icmp,http,SH,1379,1493,56,84,197,Normal
4325,ftp,dns,SF,1184,3708,44,38,62,Normal
8465,udp,snmp,SF,192,126,86,96,145,BruteForce
7590,icmp,http,SH,2166,2366,54,2,118,Normal
6478,udp,telnet,RSTR,2255,2879,37,83,118,Normal
8447,dns,telnet,RSTO,2563,4645,37,76,167,Normal
9823,http,ssh,S0,1245,2645,82,77,204,Normal
794,smtp,dns,RSTO,3125,4662,40,53,3,Normal
875,dns,snmp,S0,1383,577,39,21,161,WebAttack
1715,dns,snmp,RSTR,208,63,64,56,32,BruteForce
3580,smtp,telnet,OTH,1598,2126,30,74,253,Normal
6740,tcp,ftp,RSTO,459,169,52,51,107,BruteForce
104,dns,smtp,REJ,1135,487,27,36,127,WebAttack
5104,ftp,irc,RSTO,3047,2553,1,48,123,Normal
795,udp,http,REJ,1035,1628,96,63,95,Normal
7555,tcp,ftp,RSTR,767,2755,24,23,88,Normal
2033,dns,ftp,OTH,239,176,18,46,132,Normal
8240,http,dns,S0,1526,3141,26,30,240,Normal
500,dns,ftp,SF,2342,2638,87,82,79,Botnet
643,icmp,telnet,RSTO,4780,3375,45,28,61,Normal
7866,https,ftp,SH,4300,2433,49,67,247,Normal
433,https,ssh,OTH,2386,2854,59,34,106,Normal
2742,dns,http,OTH,1757,4787,46,95,158,Normal
9680,http,snmp,REJ,1063,4272,20,48,217,Normal
6408,tcp,http,SF,360,6218,5,33,142,Infiltration
5379,smtp,smtp,SF,712,4774,19,8,113,Normal
3564,icmp,dns,REJ,4772,888,22,90,191,Normal
3259,dns,http,SH,1782,1197,56,76,30,Normal
